"","TITRE","sortie","Y"
"107","BELLE ET SÉBASTIEN",2013-12-18,1337501
"108","BELLE ET SEBASTIEN : L'AVENTURE CONTINUE",2015-12-09,1369011
"109","BELLE ET SEBASTIEN 3, LE DERNIER CHAPITRE",2018-02-14,1683327
"110","BENJAMIN GATES ET LE LIVRE DES SECRETS",2008-02-13,1948278
"111","BEUZE (LA)",2003-02-05,1955976
"112","BIENVENUE A BORD",2011-10-05,1429530
"113","BIENVENUE CHEZ LES CH'TIS",2008-02-27,20438510
"114","BIG FISH",2004-03-03,1142856
"115","BIRDS OF PREY ET LA FANTABULEUSE HISTOIRE DE HARLEY QUINN",2020-02-05,1049233
"116","BIS",2015-02-18,1512366
"117","BLACK PANTHER",2018-02-14,3621869
"118","BLACK SWAN",2011-02-09,2651092
"119","BLACK WIDOW",2021-07-07,1677619
"120","BLACKKKLANSMAN",2018-08-22,1310537
"121","BLADE RUNNER 2049",2017-10-04,1256847
"122","BLANCHE-NEIGE ET LE CHASSEUR",2012-06-13,1976449
"123","BLOOD DIAMOND",2007-01-31,1313870
"124","BLUE JASMINE",2013-09-25,1425340
"125","BOB L'EPONGE, LE FILM - UN HEROS SORT DE L'EAU",2015-02-18,1300935
"126","BODIN'S AU PAYS DU SOURIRE (LES)",2021-11-17,1500886
"127","BOHEMIAN RHAPSODY",2018-10-31,3722418
"128","BOITE NOIRE",2021-09-08,1182706
"129","BOUDU",2005-03-09,1196895
"130","BOULE ET BILL",2013-02-27,2006836
"131","BRICE 3",2016-10-19,1949761
"132","BRICE DE NICE",2005-04-06,4425113
"133","BRIDGET JONES : L'AGE DE RAISON",2004-12-08,1528376
"134","BRIDGET JONES BABY",2016-10-05,1972097
"135","BRONZÉS 3 (LES) - AMIS POUR LA VIE",2006-02-01,10227811
"136","BRUCE TOUT PUISSANT",2003-09-03,2666591
"137","BURN AFTER READING",2008-12-10,1063386
"138","C'EST QUOI CETTE MAMIE ?!",2019-08-07,1190911
"139","CA",2017-09-20,2231708
"140","CA CHAPITRE 2",2019-09-11,1492877
"141","CAGE DOREE (LA)",2013-04-24,1228894
"142","CAMPING",2006-04-26,5471891
"143","CAMPING 2",2010-04-21,3979101
"144","CAMPING 3",2016-06-29,3222806
"145","CAPTAIN AMERICA - FIRST AVENGER",2011-08-17,1071108
"146","CAPTAIN AMERICA : CIVIL WAR",2016-04-27,2915343
"147","CAPTAIN AMERICA : LE SOLDAT DE L'HIVER",2014-03-26,1880153
"148","CAPTAIN MARVEL",2019-03-06,3314017
"149","CARS 2",2011-07-27,2909835
"150","CARS 3",2017-08-02,2717826
"151","CARS QUATRE ROUES",2006-06-14,2022024
"152","CASE DEPART",2011-07-06,1771310
"153","CASH",2008-04-23,1107013
"154","CASINO ROYALE",2006-11-22,2842076
"155","CASSE-TETE CHINOIS",2013-12-04,1273001
"156","CENDRILLON",2015-03-25,1674276
"157","CHANCE DE MA VIE (LA)",2011-01-05,1038592
"158","CHANT DU LOUP (LE)",2019-02-20,1547300
"159","CHARLIE'S ANGELS : LES ANGES SE DECHAINENT",2003-07-16,1564145
"160","CHARLIE ET LA CHOCOLATERIE",2005-07-13,4244665
"161","CHAT POTTE (LE)",2011-11-30,3431097
"162","CHATEAU AMBULANT (LE)",2005-01-12,1311161
"163","CHEVALIERS DU CIEL (LES)",2005-11-09,1278656
"164","CHICAGO",2003-02-26,1128307
"165","CHICKEN LITTLE",2005-12-07,2031514
"166","CHIMPANZES DE L'ESPACE (LES)",2008-10-22,1245144
"167","CHOC DES TITANS (LE)",2010-04-07,1874282
"168","CHOCOLAT",2016-02-03,1932768
"169","CHORISTES (LES)",2004-03-17,8432827
"170","CHOUCHOU",2003-03-19,3823902
"171","CHRONICLE",2012-02-22,1019368
"172","CHTITE FAMILLE (LA)",2018-02-28,5619983
"173","CIGOGNES ET COMPAGNIE",2016-10-12,1017326
"174","CINQ LEGENDES (LES)",2012-11-28,2278252
"175","CINQUANTE NUANCES DE GREY",2015-02-11,4065415
"176","CINQUANTE NUANCES PLUS CLAIRES",2018-02-07,2764015
"177","CINQUANTE NUANCES PLUS SOMBRES",2017-02-08,3141491
"178","CLOCHETTE ET LA FÉE PIRATE",2014-04-02,1031829
"179","CLOCHETTE ET LE SECRET DES FEES",2012-10-10,1438569
"180","CLOCLO",2012-03-14,1761084
"181","COCCINELLE REVIENT (LA)",2005-08-03,1310693
"182","COCO",2009-03-18,2929310
"183","COCO",2017-11-29,4607987
"184","COCO AVANT CHANEL",2009-04-22,1040905
"185","CODE A CHANGÉ (LE)",2009-02-18,1629959
"186","COEUR DES HOMMES (LE)",2003-04-02,1533935
"187","CŒUR DES HOMMES N°2 (LE)",2007-10-24,1811639
"188","COLLATERAL",2004-09-29,1450039
"189","COMME DES BETES",2016-07-27,3755283
"190","COMME DES BETES 2",2019-07-31,2311129
"191","COMME T'Y ES BELLE !",2006-05-10,1040639
"192","COMME UNE IMAGE",2004-09-22,1593020
"193","CONCERT (LE)",2009-11-04,1614466
"194","CONJURING 2 : LE CAS ENFIELD",2016-06-29,1471943
"195","CONJURING 3: THE DEVIL MADE ME DO IT",2021-06-09,1885246
"196","CONJURING, LES DOSSIERS WARREN",2013-08-21,1163984
"197","CONNASSE, PRINCESSE DES CŒURS",2015-04-29,1199076
"198","CONSTANTINE",2005-02-16,1222930
"199","COUT DE LA VIE (LE)",2003-07-30,1099051
"200","CREED II",2019-01-09,1727615
"201","CREED, L'HERITAGE DE ROCKY BALBOA",2016-01-13,1641241
"202","CRIME EST NOTRE AFFAIRE (LE)",2008-10-15,1180809
"203","CROODS (LES)",2013-04-10,2379692
"204","CRUELLA",2021-06-23,1426229
"205","DA VINCI CODE",2006-05-17,4161514
"206","DALTON (LES)",2004-12-08,1678533
"207","DANS LA MAISON",2012-10-10,1184275
"208","DAREDEVIL",2003-03-19,1330665
"209","DARK SHADOWS",2012-05-09,1951178
"210","DE BATTRE MON CŒUR S'EST ARRETE",2005-03-16,1013708
"211","DE L'AUTRE COTE DU LIT",2009-01-07,1806170
