"","TITRE","sortie","Y"
"473","LOUP DE WALL STREET (LE)",2013-12-25,1015251
"474","LOUP ET LE LION (LE)",2021-10-13,1173707
"475","LUCKY LUKE",2009-10-21,1875194
"476","LUCY",2014-08-06,5200285
"477","LYONNAIS (LES)",2011-11-30,1093950
"478","M. PEABODY ET SHERMAN : LES VOYAGES DANS LE TEMPS",2014-02-12,1418522
"479","MA PART DU GATEAU",2011-03-16,1026465
"480","MAC (LE)",2010-02-17,1455054
"481","MAD MAX : FURY ROAD",2015-05-14,2359477
"482","MADAGASCAR",2005-06-22,3176072
"483","MADAGASCAR 2 : LA GRANDE EVASION",2008-12-03,4349551
"484","MADAGASCAR 3 : BONS BAISERS D'EUROPE",2012-06-06,3410251
"485","MAGIC IN THE MOONLIGHT",2014-10-22,1036603
"486","MAISON DU BONHEUR (LA)",2006-06-07,1144592
"487","MAJORDOME (LE)",2013-09-11,1947590
"488","MALABAR PRINCESS",2004-03-03,1457790
"489","MALÉFIQUE",2014-05-28,2003537
"490","MALEFIQUE : LE POUVOIR DU MAL",2019-10-16,2670064
"491","MAMMA MIA ! LE FILM",2008-09-10,1567871
"492","MAN OF STEEL",2013-06-19,2316386
"493","MANOIR HANTE ET LES 999 FANTOMES (LE)",2004-02-18,1081165
"494","MARCHE DE L'EMPEREUR (LA)",2005-01-26,1861041
"495","MARGUERITE",2015-09-16,1008223
"496","MARIAGES !",2004-04-21,1962952
"497","MARIE ANTOINETTE",2006-05-24,1217251
"498","MATCH POINT",2005-10-26,1449174
"499","MATRIX RELOADED",2003-05-16,5636757
"500","MATRIX REVOLUTIONS",2003-11-05,3481122
"501","MAUVAIS ESPRIT",2003-11-05,1091800
"502","MAUVAISE EDUCATION (LA)",2004-05-12,1066059
"503","MEDECIN DE CAMPAGNE",2016-03-23,1507093
"504","MEN IN BLACK 3",2012-05-23,2121353
"505","MESRINE : L'ENNEMI PUBLIC N°1",2008-11-19,1501437
"506","MESRINE : L'INSTINCT DE MORT",2008-10-22,2262376
"507","MIAMI VICE - DEUX FLICS A MIAMI",2006-08-16,1571796
"508","MICHAEL JACKSON'S THIS IS IT",2009-10-28,1549870
"509","MICMACS À TIRE-LARIGOT",2009-10-28,1258734
"510","MILLENIUM",2009-05-13,1222646
"511","MILLENIUM : LES HOMMES QUI N'AIMAIENT PAS LES FEMMES",2012-01-18,1077675
"512","MILLION DOLLAR BABY",2005-03-23,3153904
"513","MINCE ALORS !",2012-03-28,1445744
"514","MINIONS (LES)",2015-07-08,6655855
"515","MINUIT A PARIS",2011-05-11,1734167
"516","MINUSCULE, LA VALLÉE DES FOURMIS PERDUES",2014-01-29,1499083
"517","MISS PEREGRINE ET LES ENFANTS PARTICULIERS",2016-10-05,2707153
"518","MISSION-G",2009-10-14,1372136
"519","MISSION : IMPOSSIBLE 3",2006-05-03,1914356
"520","MISSION : IMPOSSIBLE PROTOCOLE FANTOME",2011-12-14,1747775
"521","MISSION : IMPOSSIBLE, ROGUE NATION",2015-08-12,2797975
"522","MISSION IMPOSSIBLE FALL OUT",2018-08-01,3017843
"523","MOBIUS",2013-02-27,1095336
"524","MOI CESAR, 10 ANS1/2, 1M39",2003-04-09,1058185
"525","MOI MOCHE ET MECHANT 3",2017-07-05,5741462
"526","MOI, MOCHE ET MECHANT",2010-10-06,3009552
"527","MOI, MOCHE ET MECHANT 2",2013-06-26,4649542
"528","MOLIÈRE",2007-01-31,1219493
"529","MOME (LA)",2007-02-14,5224878
"530","MOMIE : LA TOMBE DE L'EMPEREUR DRAGON (LA )",2008-08-06,1556624
"531","MOMMY",2014-10-08,1129093
"532","MON BEAU PERE, MES PARENTS ET MOI",2005-02-16,1658570
"533","MON PETIT DOIGT M'A DIT",2005-04-13,1264508
"534","MONDE DE DORY (LE)",2016-06-22,3366753
"535","MONDE DE NARNIA - CHAPITRE 3 - L'ODYSSEE DU PASSEUR D'AURORE (LE)",2010-12-08,2325572
"536","MONDE DE NARNIA (LE ) - CHAPITRE 2 - LE PRINCE CASPIAN",2008-06-25,3045873
"537","MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE",2005-12-21,5137756
"538","MONDE DE NEMO (LE)",2003-11-26,9228669
"539","MONDE FANTASTIQUE D'OZ (LE)",2013-03-13,1563134
"540","MONDES DE RALPH (LES)",2012-12-05,1199597
"541","MONSTRES ACADEMY",2013-07-10,2082526
"542","MONSTRES CONTRE ALIENS",2009-04-01,1264741
"543","MONUMENTS MEN",2014-03-12,1288015
"544","MORT DANS LA PEAU (LA)",2004-09-08,1137341
"545","MOURIR PEUT ATTENDRE",2021-10-06,3996589
"546","MR & MRS SMITH",2005-07-27,2956793
"547","MUNICH",2006-01-25,1043520
"548","MYSTERE DE LA CHAMBRE JAUNE (LE)",2003-06-11,1060508
"549","MYSTIC RIVER",2003-10-15,1148169
"550","NE LE DIS À PERSONNE",2006-11-01,2728271
"551","NEUILLY SA MERE !",2009-08-12,2536282
"552","NEUILLY SA MERE, SA MERE",2018-08-08,1146585
"553","NICKY LARSON ET LE PARFUM DE CUPIDON",2019-02-06,1678048
"554","NIGHT AND DAY",2010-07-28,1763619
"555","NINJA TURTLES",2014-10-15,1785821
"556","NOCES FUNEBRES DE TIM BURTON (LES)",2005-10-19,1363235
"557","NOCES REBELLES (LES)",2009-01-21,1140854
"558","NOE",2014-04-09,1322454
"559","NON-STOP",2014-02-26,1222178
"560","NOS ÉTOILES CONTRAIRES",2014-08-20,1044556
"561","NOS JOURS HEUREUX (EX:CES JOURS HEUREUX)",2006-06-28,1474278
"562","NOS VOISINS LES HOMMES",2006-07-05,1514322
"563","NOUS FINIRONS ENSEMBLE",2019-05-01,2786533
"564","NOUVEAUX HEROS (LES)",2015-02-11,1660709
"565","NOUVELLE GUERRE DES BOUTONS (LA)",2011-09-21,1543213
"566","NOUVELLES AVENTURES D'ALADIN (LES)",2015-10-14,4426102
"567","NUIT AU MUSEE (LA)",2007-02-07,2270272
"568","NUIT AU MUSEE : LE SECRET DES PHARAONS (LA)",2015-02-04,1591922
"569","NUIT AU MUSEE 2",2009-05-20,1626551
"570","OBLIVION",2013-04-10,1330952
"571","OCEAN'S 13",2007-06-20,1642801
"572","OCEAN'S TWELVE",2004-12-15,2107007
"573","OCÉANS",2010-01-27,2856092
"574","ODYSSÉE (L')",2016-10-12,1216923
"575","OLIVER TWIST",2005-10-19,1450851
"576","ONCE UPON A TIME... IN HOLLYWOOD",2019-08-14,2640436
"577","OPÉRATION CASSE-NOISETTE",2014-08-06,1201871
"578","OSS 117 - ALERTE ROUGE EN AFRIQUE NOIRE",2021-08-04,1623601
"579","OSS 117 - LE CAIRE, NID D'ESPIONS",2006-04-19,2299400
"580","OSS 117 RIO NE RÉPOND PLUS",2009-04-15,2520540
"581","PACIFIC RIM",2013-07-17,1024853
"582","PADDINGTON",2014-12-03,2204696
"583","PADDINGTON 2",2017-12-06,1306255
"584","PALAIS ROYAL!",2005-11-23,2375513
"585","PAPA OU MAMAN",2015-02-04,2887691
"586","PAPA OU MAMAN 2",2016-12-07,1197087
"587","PARANORMAL ACTIVITY",2009-12-02,1050292
"588","PARASITE",2019-06-05,1706519
"589","PARIS",2008-02-20,1745858
"590","PASSION DU CHRIST (LA)",2004-03-31,1538537
"591","PAT'PATROUILLE - LE FILM (LA)",2021-08-11,1473730
"592","PATIENTS",2017-03-01,1267131
"593","PATTAYA",2016-02-24,1951055
"594","PAULETTE",2013-01-16,1033692
"595","PENTAGON PAPERS",2018-01-24,1338337
"596","PERCY JACKSON : LA MER DES MONSTRES",2013-08-14,1469378
"597","PERCY JACKSON LE VOLEUR DE FOUDRE",2010-02-10,1231464
"598","PERE ET FILS",2003-08-20,1145352
"599","PERSÉPOLIS",2007-06-27,1237077
"600","PETER PAN",2004-02-04,1418170
"601","PETIT NICOLAS (LE)",2009-09-30,5535387
"602","PETIT PRINCE (LE)",2015-07-29,1934437
"603","PETITS MOUCHOIRS (LES)",2010-10-20,5327202
"604","PHENOMENES",2008-06-11,1300264
"605","PIERRE LAPIN",2018-04-04,1735472
"606","PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE",2011-05-18,4668413
"607","PIRATES DES CARAIBES : LA MALEDICTION DU BLACK PEARL",2003-08-13,3768440
"608","PIRATES DES CARAIBES, JUSQU'AU BOUT DU MONDE",2007-05-23,5640983
"609","PIRATES DES CARAIBES, LE SECRET DU COFFRE MAUDIT",2006-08-02,6508884
"610","PIRATES DES CARAIBES: LA VENGEANCE DE SALAZAR",2017-05-24,3593093
"611","PLANES",2013-10-09,1634078
"612","PLANES 2",2014-07-23,1017036
"613","PLANETE DES SINGES : LES ORIGINES (LA)",2011-08-10,3261329
"614","PODIUM",2004-02-11,3544462
"615","POKEMON DETECTIVE PIKACHU",2019-05-08,1690034
"616","POLE EXPRESS (LE)",2004-12-01,1369900
"617","POLISSE",2011-10-19,2323038
"618","POPULAIRE",2012-11-28,1009578
"619","POTICHE",2010-11-10,2249397
"620","POUPEES RUSSES (LES)",2005-06-15,2835515
"621","POURQUOI J'AI (PAS) MANGE MON PERE",2015-04-08,2410643
"622","PREDICTIONS",2009-04-01,1401779
"623","PREMIER JOUR DU RESTE DE TA VIE (LE)",2008-07-23,1200679
"624","PREMIERE ANNEE",2018-09-12,1013813
"625","PREMIÈRE ÉTOILE (LA)",2009-03-25,1648890
"626","PRÉNOM (LE)",2012-04-25,3337091
"627","PRETE-MOI TA MAIN (EX : RENT A WIFE)",2006-11-01,3453125
"628","PRINCE OF PERSIA : LES SABLES DU TEMPS",2010-05-26,2112509
"629","PRINCESSE ET LA GRENOUILLE (LA)",2010-01-27,3662761
"630","PRISONERS",2013-10-09,1134394
"631","PRIX À PAYER (LE)",2007-04-04,1344982
"632","PROFS (LES)",2013-04-17,3950314
"633","PROFS 2 (LES)",2015-07-01,3494441
"634","PROJET X",2012-03-14,1845454
"635","PROMETHEUS",2012-05-30,1836615
"636","PUBLIC ENEMIES",2009-07-08,1567631
"637","QU'EST-CE QU'ON A ENCORE FAIT AU BON DIEU ?",2019-01-30,6715945
"638","QU'EST-CE QU'ON A FAIT AU BON DIEU ?",2014-04-16,12343201
"639","QUANTUM OF SOLACE",2008-10-31,3703207
"640","RADIN !",2016-09-28,2953541
"641","RAFLE (LA)",2010-03-10,2884565
"642","RAID DINGUE",2017-02-01,4562777
"643","RAIPONCE",2010-12-01,3174172
"644","RALPH 2.0",2019-02-13,2269311
"645","RANGO",2011-03-23,1266311
"646","RATATOUILLE",2007-08-01,7672786
"647","RAY",2005-02-23,1589608
"648","READY PLAYER ONE",2018-03-28,2278316
"649","REAL STEEL",2011-10-19,1081043
"650","REBELLE",2012-08-01,3161238
"651","REBELLES DE LA FORET (LES)",2006-10-18,1567501
"652","REINE DES NEIGES (LA)",2013-12-04,3795741
"653","RENARD ET L'ENFANT (LE)",2007-12-12,1487173
"654","RETOUR CHEZ MA MERE",2016-06-01,2196249
"655","RETOUR DU ROI (LE)",2003-12-17,7368261
"656","RIEN A DECLARER",2011-02-02,8102335
"657","RIO",2011-04-13,2442881
"658","RIO 2",2014-04-09,3263275
"659","RIRE ET CHATIMENT",2003-01-22,1127230
"660","RIVIERES POURPRES 2 (LES)",2004-02-18,2079055
"661","ROBIN DES BOIS",2010-05-12,2386545
"662","ROBOTS",2005-04-06,1103154
"663","ROCK N ROLL",2017-02-15,1299936
"664","ROCKY BALBOA",2007-01-24,1150188
"665","ROGUE ONE A STAR WARS STORY",2016-12-14,4982125
"666","ROI ARTHUR (LE)",2004-08-04,1597716
"667","ROIS DE LA GLISSE (LES)",2007-10-24,1512602
"668","RRRRRRR !!!",2004-01-28,1666835
"669","SAFARI",2009-04-01,1961157
"670","SAHARA",2017-02-01,1125640
"671","SAISONS (LES)",2016-01-27,1018071
"672","SALT",2010-08-25,1472402
"673","SAMBA",2014-10-15,3149911
"674","SAN ANDREAS",2015-05-27,1151362
"675","SANS IDENTITE",2011-03-02,1001308
"676","SANTA ET CIE",2017-12-06,1653855
"677","SCHTROUMPFS (LES)",2011-08-03,2812856
"678","SCHTROUMPFS 2 (LES)",2013-07-31,2248421
"679","SCOOBY-DOO 2 - LES MONSTRES SE DECHAINENT",2004-04-07,1365404
"680","SCREAM 4",2011-04-13,1068889
"681","SECRET DE BROKEBACK MOUNTAIN (LE)",2006-01-18,1320757
"682","SECRET DE TARABITHIA (LE)",2007-03-28,1049287
"683","SEIGNEUR DES ANNEAUX (LE) - LES DEUX TOURS",2002-12-18,2574735
"684","SEIGNEURS (LES)",2012-09-26,2730554
"685","SENS DE LA FETE (LE)",2017-10-04,3022386
"686","SENTIMENTS (LES)",2003-11-05,1136411
"687","SEPT VIES",2009-01-14,1107737
"688","SEUL SUR MARS",2015-10-21,2519790
"689","SEVEN SISTERS",2017-08-30,1861713
"690","SEX AND THE CITY 2",2010-06-02,1309156
"691","SEX AND THE CITY LE FILM",2008-05-28,1990295
"692","SEXY DANCE 4 : MIAMI HEAT",2012-08-08,1133681
"693","SHANG-CHI ET LA LEGENDE DES DIX ANNEAUX",2021-09-01,1379799
"694","SHAUN LE MOUTON",2015-04-01,1063446
"695","SHAZAM !",2019-04-03,1071677
"696","SHERLOCK HOLMES",2010-02-03,2151617
"697","SHERLOCK HOLMES : JEU D'OMBRES",2012-01-25,2387738
"698","SHREK 2",2004-06-23,7136071
"699","SHREK 4, IL ÉTAIT UNE FIN",2010-06-30,4625139
"700","SHREK LE TROISIEME",2007-06-13,5547999
"701","SHUTTER ISLAND",2010-02-24,3112216
"702","SIMPSON LE FILM (LES)",2007-07-25,3548245
"703","SIN CITY",2005-06-01,1231689
"704","SINBAD: LA LEGENDE DES SEPT MERS",2003-07-09,1252113
"705","SKYFALL",2012-10-26,6809201
"706","SLUMDOG MILLIONAIRE",2009-01-14,2698865
"707","SOLO : A STAR WARS STORY",2018-05-23,1373990
"708","SONIC LE FILM",2020-02-12,2117099
"709","SOURIS CITY",2006-11-29,1043666
"710","SOUS LES JUPES DES FILLES",2014-06-04,1359340
"711","SOUVENIRS (LES)",2015-01-14,1062983
"712","SPIDER-MAN : FAR FROM HOME",2019-07-03,3230743
"713","SPIDER-MAN 2",2004-07-14,5234145
"714","SPIDER-MAN 3",2007-05-01,6321621
"715","SPIDER-MAN NO WAY HOME",2021-12-15,4581507
"716","SPIDER MAN HOMECOMING",2017-07-12,2318079
"717","SPLIT",2017-02-22,1789981
"718","STAR WARS : EPISODE 7, LE REVEIL DE LA FORCE",2015-12-16,10330242
"719","STAR WARS : EPISODE 9, L'ASCENSION DE SKYWALKER",2019-12-18,6063962
"720","STAR WARS : EPISODE III - LA REVANCHE DES SITHS",2005-05-18,7201421
"721","STAR WARS LES DERNIERS JEDI",2017-12-13,7080049
"722","STARS 80",2012-10-24,1834024
"723","STARSKY ET HUTCH",2004-04-21,1510938
"724","SUICIDE SQUAD",2016-08-03,2281084
"725","SULLY",2016-11-30,1108213
"726","SUPER 8",2011-08-03,1532544
"727","SUPERCONDRIAQUE",2014-02-26,5271006
"728","SUPERMAN RETURNS",2006-07-12,1455483
"729","SUR LA PISTE DU MARSUPILAMI",2012-04-04,5298214
"730","SUR LE CHEMIN DE L'ECOLE",2013-09-25,1168029
"731","SWEENEY TODD LE DIABOLIQUE BARBIER DE FLEET STREET",2008-01-23,1045614
"732","TAIS-TOI",2003-10-22,3030344
"733","TAKEN",2008-02-27,1021862
"734","TAKEN 2",2012-10-03,2905166
"735","TAKEN 3",2015-01-21,2612213
"736","TANGUY, LE RETOUR",2019-04-10,1028683
"737","TARZAN",2016-07-06,1376034
"738","TAXI 3",2003-01-29,6110508
"739","TAXI 4",2007-02-14,4549943
"740","TAXI 5",2018-04-11,3650550
"741","TED",2012-10-10,1377414
"742","TED 2",2015-08-05,1143896
"743","TENET",2020-08-26,2346680
"744","TERMINAL (LE)",2004-09-15,1137672
"745","TERMINATOR : GENISYS",2015-07-01,1425869
"746","TERMINATOR 3 : LE SOULEVEMENT DES MACHINES",2003-08-06,3185715
"747","TERMINATOR RENAISSANCE",2009-06-03,1554276
"748","TETE EN FRICHE (LA)",2010-06-02,1271129
"749","THE AMAZING SPIDER-MAN",2012-07-04,2543141
"750","THE AMAZING SPIDER-MAN : LE DESTIN D'UN HÉROS",2014-04-30,2309088
"751","THE ARTIST",2011-10-12,3156917
"752","THE DARK KNIGHT LE CHEVALIER NOIR",2008-08-13,3004289
"753","THE DARK KNIGHT RISES",2012-07-25,4410644
"754","THE GHOST WRITER",2010-03-03,1048697
"755","THE GRAND BUDAPEST HOTEL",2014-02-26,1472817
"756","THE ISLAND",2005-08-17,1552663
"757","THE KARATE KID",2010-08-18,1283114
"758","THE REVENANT",2016-02-24,3843618
"759","THE SOCIAL NETWORK",2010-10-13,1444687
"760","THE TOWN",2010-09-15,1078652
"761","THOR",2011-04-27,1726057
"762","THOR : LE MONDE DES TENEBRES",2013-10-30,2292842
"763","THOR RAGNAROK",2017-10-25,2460259
"764","TIME OUT",2011-11-23,1045885
"765","TITANIC",1998-01-07,1138807
"766","TITEUF, LE FILM",2011-04-06,1267593
"767","TOMB RAIDER",2018-03-14,1264668
"768","TOTAL RECALL : MEMOIRES PROGRAMMEES",2012-08-15,1276672
"769","TOUS EN SCENE",2017-01-25,3606379
"770","TOUS EN SCENE 2",2021-12-22,1169311
"771","TOUT CE QUI BRILLE",2010-03-24,1417302
"772","TOUT LE MONDE DEBOUT",2018-03-14,2417997
"773","TOUT POUR PLAIRE",2005-03-16,1444421
"774","TOY STORY 3",2010-07-14,4259327
"775","TOY STORY 4",2019-06-26,4517327
"776","TRANSFORMERS",2007-07-25,1976264
"777","TRANSFORMERS : L'ÂGE DE L'EXTINCTION",2014-07-16,2335956
"778","TRANSFORMERS 2 LA REVANCHE",2009-06-24,2265369
"779","TRANSFORMERS 3 : LA FACE CACHEE DE LA LUNE",2011-06-29,2623554
"780","TRANSFORMERS THE LAST KNIGHT",2017-06-28,1424218
"781","TRANSPORTEUR 2 (LE)",2005-08-03,1226161
"782","TRANSPORTEUR 3 (LE)",2008-11-26,1350462
"783","TROIE",2004-05-13,2730738
"784","TROLLS (LES)",2016-10-19,2736205
"785","TRON L'HERITAGE",2011-02-09,1190883
"786","TRUE GRIT",2011-02-23,1406227
"787","TU VEUX OU TU VEUX PAS",2014-10-01,1077678
"788","TUCHE (LES)",2011-07-01,1532865
"789","TUCHE 2 : LE REVE AMERICAIN (LES)",2016-02-03,4604904
"790","TUCHE 4 (LES)",2021-12-08,1940774
"791","TURBO",2013-10-16,2466530
"792","TWILIGHT - CHAPITRE 1 : FASCINATION",2009-01-07,2793895
"793","TWILIGHT - CHAPITRE 2 : TENTATION",2009-11-18,4122503
"794","TWILIGHT - CHAPITRE 3 : HESITATION",2010-07-07,3936112
"795","TWILIGHT - CHAPITRE 4 : REVELATION 1ÈRE PARTIE",2011-11-16,3612738
"796","TWILIGHT - CHAPITRE 5 : REVELATION (2E PARTIE)",2012-11-14,4429780
"797","UN BONHEUR N'ARRIVE JAMAIS SEUL",2012-06-27,1828827
"798","UN JOUR SUR TERRE",2007-10-10,1402310
"799","UN LONG DIMANCHE DE FIANCAILLES",2004-10-27,4328943
"800","UN MONSTRE A PARIS",2011-10-12,1739232
"801","UN PLAN PARFAIT",2012-10-31,1224814
"802","UN PROPHÈTE",2009-08-26,1220577
"803","UN SAC DE BILLES",2017-01-18,1334756
"804","UN SECRET",2007-10-03,1654755
"805","VACANCES DE DUCOBU (LES)",2012-04-25,1055784
"806","VACANCES DE MR BEAN (LES)",2007-04-18,1063952
"807","VACHE (LA)",2016-02-17,1301661
"808","VAIANA LA LEGENDE DU BOUT DU MONDE",2016-11-30,1019354
"809","VAIANA, LA LÉGENDE DU BOUT DU MONDE",2016-11-30,4525149
"810","VAILLANT PIGEON DE COMBAT",2005-03-30,1159947
"811","VALENTINE'S DAY",2010-02-17,1189525
"812","VALERIAN ET LA CITE DES MILLE PLANETES",2017-07-26,4041056
"813","VAN HELSING",2004-05-05,1516761
"814","VENGEANCE DANS LA PEAU (LA)",2007-09-12,1541184
"815","VENOM",2018-10-10,2279269
"816","VENOM LET THERE BE CARNAGE",2021-10-20,1623878
"817","VERITE SI JE MENS 3 (LA)",2012-02-01,4111213
"818","VERY BAD TRIP",2009-06-24,2003642
"819","VERY BAD TRIP 2",2011-05-25,2505709
"820","VERY BAD TRIP 3",2013-05-29,1932392
"821","VICE-VERSA",2015-06-17,4410201
"822","VICKY CRISTINA BARCELONA",2008-10-08,1875759
"823","VIE DES AUTRES (LA)",2007-01-31,1538818
"824","VILLAGE (LE)",2004-08-18,2359420
"825","VIPERE AU POING",2004-10-06,1173913
"826","VISITEURS : LA REVOLUTION (LES)",2016-04-06,2199638
"827","VIVE LA FRANCE",2013-02-20,1107206
"828","VOLT, STAR MALGRE LUI",2009-02-04,2875667
"829","VOLVER",2006-05-19,2296256
"830","VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE",2012-02-15,1320696
"831","VOYAGE AU CENTRE DE LA TERRE 3D",2008-07-16,1211704
"832","VOYAGE D'ARLO (LE)",2015-11-25,2316475
"833","VOYAGE EXTRAORDINAIRE DE SAMY (LE)",2010-08-11,1309333
"834","WALL-E",2008-07-30,3169760
"835","WALLACE ET GROMIT LE MYSTERE DU LAPIN-GAROU",2005-10-12,2231299
"836","WANTED : CHOISIS TON DESTIN",2008-07-16,1085652
"837","WARCRAFT : LE COMMENCEMENT",2016-05-25,1731822
"838","WELCOME",2009-03-11,1223257
"839","WOLVERINE : LE COMBAT DE L'IMMORTEL",2013-07-24,1987860
"840","WONDER WOMAN",2017-06-07,2154845
"841","WORLD WAR Z",2013-07-03,2456544
"842","X-MEN : APOCALYPSE",2016-05-18,2161008
"843","X-MEN : DARK PHOENIX",2019-06-05,1410767
"844","X-MEN : DAY OF FUTURE PAST",2014-05-21,3283332
"845","X-MEN : LE COMMENCEMENT",2011-06-01,2103132
"846","X-MEN L'AFFRONTEMENT FINAL",2006-05-24,2806896
"847","X-MEN ORIGINS WOLVERINE",2009-04-29,1956635
"848","X MEN II",2003-04-30,2784931
"849","YETI ET COMPAGNIE",2018-10-17,1845860
"850","YVES SAINT LAURENT",2014-01-08,1645231
"851","ZARAFA",2012-02-08,1441142
"852","ZODIAC",2007-05-17,1129018
"853","ZOOTOPIE",2016-02-17,4754973
