"","x"
"A3_curve",26
"A3_free_kick_accuracy",22
"A3_long_passing",22
"A3_ball_control",22
"A3_acceleration",22
"A3_sprint_speed",22
"A3_agility",26
"A3_reactions",22
"A3_balance",26
"A3_shot_power",22
"A3_jumping",26
"A3_stamina",22
"A3_strength",22
"A3_long_shots",22
"A3_aggression",22
"A3_interceptions",22
"A3_positioning",22
"A3_vision",26
"A3_penalties",22
"A3_marking",22
"A3_standing_tackle",22
"A3_sliding_tackle",26
"A3_gk_diving",22
"A3_gk_handling",22
"A3_gk_kicking",22
"A3_gk_positioning",22
"A3_gk_reflexes",22
"H3_player_name",0
"H3_birthday",0
"H3_height",0
"H3_weight",0
"A3_player_name",1
"A3_birthday",1
"A3_height",1
"A3_weight",1
"H4_overall_rating",50
"H4_potential",50
"H4_preferred_foot",50
"H4_attacking_work_rate",61
"H4_defensive_work_rate",50
"H4_crossing",50
"H4_finishing",50
"H4_heading_accuracy",50
"H4_short_passing",50
"H4_volleys",64
"H4_dribbling",50
"H4_curve",64
"H4_free_kick_accuracy",50
"H4_long_passing",50
"H4_ball_control",50
"H4_acceleration",50
"H4_sprint_speed",50
"H4_agility",64
"H4_reactions",50
"H4_balance",64
"H4_shot_power",50
"H4_jumping",64
"H4_stamina",50
"H4_strength",50
"H4_long_shots",50
"H4_aggression",50
"H4_interceptions",50
"H4_positioning",50
"H4_vision",64
"H4_penalties",50
"H4_marking",50
"H4_standing_tackle",50
"H4_sliding_tackle",64
"H4_gk_diving",50
"H4_gk_handling",50
"H4_gk_kicking",50
"H4_gk_positioning",50
"H4_gk_reflexes",50
"A4_overall_rating",48
"A4_potential",48
"A4_preferred_foot",48
"A4_attacking_work_rate",59
"A4_defensive_work_rate",48
"A4_crossing",48
"A4_finishing",48
"A4_heading_accuracy",48
"A4_short_passing",48
"A4_volleys",60
"A4_dribbling",48
"A4_curve",60
"A4_free_kick_accuracy",48
"A4_long_passing",48
"A4_ball_control",48
"A4_acceleration",48
"A4_sprint_speed",48
"A4_agility",60
"A4_reactions",48
"A4_balance",60
"A4_shot_power",48
"A4_jumping",60
"A4_stamina",48
"A4_strength",48
"A4_long_shots",48
"A4_aggression",48
"A4_interceptions",48
"A4_positioning",48
"A4_vision",60
"A4_penalties",48
"A4_marking",48
"A4_standing_tackle",48
"A4_sliding_tackle",60
"A4_gk_diving",48
"A4_gk_handling",48
