"","x"
"262","A2_interceptions"
"263","A2_positioning"
"264","A2_vision"
"265","A2_penalties"
"266","A2_marking"
"267","A2_standing_tackle"
"268","A2_sliding_tackle"
"269","A2_gk_diving"
"270","A2_gk_handling"
"271","A2_gk_kicking"
"272","A2_gk_positioning"
"273","A2_gk_reflexes"
"274","H2_player_name"
"275","H2_birthday"
"276","H2_height"
"277","H2_weight"
"278","A2_player_name"
"279","A2_birthday"
"280","A2_height"
"281","A2_weight"
"282","H3_overall_rating"
"283","H3_potential"
"284","H3_preferred_foot"
"285","H3_attacking_work_rate"
"286","H3_defensive_work_rate"
"287","H3_crossing"
"288","H3_finishing"
"289","H3_heading_accuracy"
"290","H3_short_passing"
"291","H3_volleys"
"292","H3_dribbling"
"293","H3_curve"
"294","H3_free_kick_accuracy"
"295","H3_long_passing"
"296","H3_ball_control"
"297","H3_acceleration"
"298","H3_sprint_speed"
"299","H3_agility"
"300","H3_reactions"
"301","H3_balance"
"302","H3_shot_power"
"303","H3_jumping"
"304","H3_stamina"
"305","H3_strength"
"306","H3_long_shots"
"307","H3_aggression"
"308","H3_interceptions"
"309","H3_positioning"
"310","H3_vision"
"311","H3_penalties"
"312","H3_marking"
"313","H3_standing_tackle"
"314","H3_sliding_tackle"
"315","H3_gk_diving"
"316","H3_gk_handling"
"317","H3_gk_kicking"
"318","H3_gk_positioning"
"319","H3_gk_reflexes"
"320","A3_overall_rating"
"321","A3_potential"
"322","A3_preferred_foot"
"323","A3_attacking_work_rate"
"324","A3_defensive_work_rate"
"325","A3_crossing"
"326","A3_finishing"
"327","A3_heading_accuracy"
"328","A3_short_passing"
"329","A3_volleys"
"330","A3_dribbling"
"331","A3_curve"
"332","A3_free_kick_accuracy"
"333","A3_long_passing"
"334","A3_ball_control"
"335","A3_acceleration"
"336","A3_sprint_speed"
"337","A3_agility"
"338","A3_reactions"
"339","A3_balance"
"340","A3_shot_power"
"341","A3_jumping"
"342","A3_stamina"
"343","A3_strength"
"344","A3_long_shots"
"345","A3_aggression"
"346","A3_interceptions"
"347","A3_positioning"
"348","A3_vision"
"349","A3_penalties"
"350","A3_marking"
"351","A3_standing_tackle"
"352","A3_sliding_tackle"
"353","A3_gk_diving"
"354","A3_gk_handling"
"355","A3_gk_kicking"
"356","A3_gk_positioning"
"357","A3_gk_reflexes"
"358","H3_player_name"
"359","H3_birthday"
"360","H3_height"
"361","H3_weight"
"362","A3_player_name"
"363","A3_birthday"
"364","A3_height"
"365","A3_weight"
"366","H4_overall_rating"
"367","H4_potential"
"368","H4_preferred_foot"
"369","H4_attacking_work_rate"
"370","H4_defensive_work_rate"
"371","H4_crossing"
"372","H4_finishing"
"373","H4_heading_accuracy"
"374","H4_short_passing"
"375","H4_volleys"
"376","H4_dribbling"
"377","H4_curve"
"378","H4_free_kick_accuracy"
"379","H4_long_passing"
"380","H4_ball_control"
"381","H4_acceleration"
"382","H4_sprint_speed"
"383","H4_agility"
"384","H4_reactions"
"385","H4_balance"
"386","H4_shot_power"
"387","H4_jumping"
"388","H4_stamina"
"389","H4_strength"
"390","H4_long_shots"
"391","H4_aggression"
"392","H4_interceptions"
"393","H4_positioning"
"394","H4_vision"
"395","H4_penalties"
"396","H4_marking"
"397","H4_standing_tackle"
"398","H4_sliding_tackle"
"399","H4_gk_diving"
"400","H4_gk_handling"
"401","H4_gk_kicking"
"402","H4_gk_positioning"
"403","H4_gk_reflexes"
"404","A4_overall_rating"
"405","A4_potential"
"406","A4_preferred_foot"
"407","A4_attacking_work_rate"
"408","A4_defensive_work_rate"
"409","A4_crossing"
"410","A4_finishing"
"411","A4_heading_accuracy"
"412","A4_short_passing"
"413","A4_volleys"
"414","A4_dribbling"
"415","A4_curve"
"416","A4_free_kick_accuracy"
"417","A4_long_passing"
"418","A4_ball_control"
"419","A4_acceleration"
"420","A4_sprint_speed"
"421","A4_agility"
"422","A4_reactions"
"423","A4_balance"
"424","A4_shot_power"
"425","A4_jumping"
"426","A4_stamina"
"427","A4_strength"
"428","A4_long_shots"
"429","A4_aggression"
"430","A4_interceptions"
"431","A4_positioning"
"432","A4_vision"
"433","A4_penalties"
"434","A4_marking"
"435","A4_standing_tackle"
"436","A4_sliding_tackle"
"437","A4_gk_diving"
"438","A4_gk_handling"
"439","A4_gk_kicking"
"440","A4_gk_positioning"
"441","A4_gk_reflexes"
"442","H4_player_name"
"443","H4_birthday"
"444","H4_height"
"445","H4_weight"
"446","A4_player_name"
"447","A4_birthday"
"448","A4_height"
"449","A4_weight"
"450","H5_overall_rating"
"451","H5_potential"
"452","H5_preferred_foot"
"453","H5_attacking_work_rate"
"454","H5_defensive_work_rate"
"455","H5_crossing"
"456","H5_finishing"
"457","H5_heading_accuracy"
"458","H5_short_passing"
"459","H5_volleys"
"460","H5_dribbling"
"461","H5_curve"
"462","H5_free_kick_accuracy"
"463","H5_long_passing"
"464","H5_ball_control"
"465","H5_acceleration"
"466","H5_sprint_speed"
"467","H5_agility"
"468","H5_reactions"
"469","H5_balance"
"470","H5_shot_power"
"471","H5_jumping"
"472","H5_stamina"
"473","H5_strength"
"474","H5_long_shots"
"475","H5_aggression"
"476","H5_interceptions"
"477","H5_positioning"
"478","H5_vision"
"479","H5_penalties"
"480","H5_marking"
"481","H5_standing_tackle"
"482","H5_sliding_tackle"
"483","H5_gk_diving"
"484","H5_gk_handling"
"485","H5_gk_kicking"
"486","H5_gk_positioning"
"487","H5_gk_reflexes"
"488","A5_overall_rating"
"489","A5_potential"
"490","A5_preferred_foot"
"491","A5_attacking_work_rate"
"492","A5_defensive_work_rate"
"493","A5_crossing"
"494","A5_finishing"
"495","A5_heading_accuracy"
"496","A5_short_passing"
"497","A5_volleys"
"498","A5_dribbling"
"499","A5_curve"
"500","A5_free_kick_accuracy"
"501","A5_long_passing"
"502","A5_ball_control"
"503","A5_acceleration"
"504","A5_sprint_speed"
"505","A5_agility"
"506","A5_reactions"
"507","A5_balance"
"508","A5_shot_power"
"509","A5_jumping"
"510","A5_stamina"
"511","A5_strength"
"512","A5_long_shots"
"513","A5_aggression"
"514","A5_interceptions"
"515","A5_positioning"
"516","A5_vision"
"517","A5_penalties"
"518","A5_marking"
"519","A5_standing_tackle"
"520","A5_sliding_tackle"
"521","A5_gk_diving"
"522","A5_gk_handling"
"523","A5_gk_kicking"
"524","A5_gk_positioning"
"525","A5_gk_reflexes"
"526","H5_player_name"
"527","H5_birthday"
"528","H5_height"
"529","H5_weight"
"530","A5_player_name"
"531","A5_birthday"
"532","A5_height"
"533","A5_weight"
"534","H6_overall_rating"
"535","H6_potential"
"536","H6_preferred_foot"
"537","H6_attacking_work_rate"
"538","H6_defensive_work_rate"
"539","H6_crossing"
"540","H6_finishing"
"541","H6_heading_accuracy"
"542","H6_short_passing"
"543","H6_volleys"
"544","H6_dribbling"
"545","H6_curve"
"546","H6_free_kick_accuracy"
"547","H6_long_passing"
"548","H6_ball_control"
"549","H6_acceleration"
"550","H6_sprint_speed"
"551","H6_agility"
"552","H6_reactions"
"553","H6_balance"
"554","H6_shot_power"
"555","H6_jumping"
"556","H6_stamina"
"557","H6_strength"
"558","H6_long_shots"
"559","H6_aggression"
"560","H6_interceptions"
"561","H6_positioning"
"562","H6_vision"
"563","H6_penalties"
"564","H6_marking"
"565","H6_standing_tackle"
"566","H6_sliding_tackle"
"567","H6_gk_diving"
"568","H6_gk_handling"
"569","H6_gk_kicking"
"570","H6_gk_positioning"
"571","H6_gk_reflexes"
"572","A6_overall_rating"
"573","A6_potential"
"574","A6_preferred_foot"
"575","A6_attacking_work_rate"
"576","A6_defensive_work_rate"
"577","A6_crossing"
"578","A6_finishing"
"579","A6_heading_accuracy"
"580","A6_short_passing"
"581","A6_volleys"
"582","A6_dribbling"
"583","A6_curve"
"584","A6_free_kick_accuracy"
"585","A6_long_passing"
"586","A6_ball_control"
"587","A6_acceleration"
"588","A6_sprint_speed"
"589","A6_agility"
"590","A6_reactions"
"591","A6_balance"
"592","A6_shot_power"
"593","A6_jumping"
"594","A6_stamina"
"595","A6_strength"
"596","A6_long_shots"
"597","A6_aggression"
"598","A6_interceptions"
"599","A6_positioning"
"600","A6_vision"
"601","A6_penalties"
"602","A6_marking"
"603","A6_standing_tackle"
"604","A6_sliding_tackle"
"605","A6_gk_diving"
"606","A6_gk_handling"
"607","A6_gk_kicking"
"608","A6_gk_positioning"
"609","A6_gk_reflexes"
"610","H6_player_name"
"611","H6_birthday"
"612","H6_height"
"613","H6_weight"
"614","A6_player_name"
"615","A6_birthday"
"616","A6_height"
"617","A6_weight"
"618","H7_overall_rating"
"619","H7_potential"
"620","H7_preferred_foot"
"621","H7_attacking_work_rate"
"622","H7_defensive_work_rate"
"623","H7_crossing"
"624","H7_finishing"
"625","H7_heading_accuracy"
"626","H7_short_passing"
"627","H7_volleys"
"628","H7_dribbling"
"629","H7_curve"
"630","H7_free_kick_accuracy"
"631","H7_long_passing"
"632","H7_ball_control"
"633","H7_acceleration"
"634","H7_sprint_speed"
"635","H7_agility"
"636","H7_reactions"
"637","H7_balance"
"638","H7_shot_power"
"639","H7_jumping"
"640","H7_stamina"
"641","H7_strength"
"642","H7_long_shots"
"643","H7_aggression"
"644","H7_interceptions"
"645","H7_positioning"
"646","H7_vision"
"647","H7_penalties"
"648","H7_marking"
"649","H7_standing_tackle"
"650","H7_sliding_tackle"
"651","H7_gk_diving"
"652","H7_gk_handling"
"653","H7_gk_kicking"
"654","H7_gk_positioning"
"655","H7_gk_reflexes"
"656","A7_overall_rating"
"657","A7_potential"
"658","A7_preferred_foot"
"659","A7_attacking_work_rate"
"660","A7_defensive_work_rate"
"661","A7_crossing"
"662","A7_finishing"
"663","A7_heading_accuracy"
"664","A7_short_passing"
"665","A7_volleys"
"666","A7_dribbling"
"667","A7_curve"
"668","A7_free_kick_accuracy"
"669","A7_long_passing"
"670","A7_ball_control"
"671","A7_acceleration"
"672","A7_sprint_speed"
"673","A7_agility"
"674","A7_reactions"
"675","A7_balance"
"676","A7_shot_power"
"677","A7_jumping"
"678","A7_stamina"
"679","A7_strength"
"680","A7_long_shots"
"681","A7_aggression"
"682","A7_interceptions"
"683","A7_positioning"
"684","A7_vision"
"685","A7_penalties"
"686","A7_marking"
"687","A7_standing_tackle"
"688","A7_sliding_tackle"
"689","A7_gk_diving"
"690","A7_gk_handling"
"691","A7_gk_kicking"
"692","A7_gk_positioning"
"693","A7_gk_reflexes"
"694","H7_player_name"
"695","H7_birthday"
"696","H7_height"
"697","H7_weight"
"698","A7_player_name"
"699","A7_birthday"
"700","A7_height"
"701","A7_weight"
"702","H8_overall_rating"
"703","H8_potential"
"704","H8_preferred_foot"
"705","H8_attacking_work_rate"
"706","H8_defensive_work_rate"
"707","H8_crossing"
"708","H8_finishing"
"709","H8_heading_accuracy"
"710","H8_short_passing"
"711","H8_volleys"
"712","H8_dribbling"
"713","H8_curve"
"714","H8_free_kick_accuracy"
"715","H8_long_passing"
"716","H8_ball_control"
"717","H8_acceleration"
"718","H8_sprint_speed"
"719","H8_agility"
"720","H8_reactions"
"721","H8_balance"
"722","H8_shot_power"
"723","H8_jumping"
"724","H8_stamina"
"725","H8_strength"
"726","H8_long_shots"
"727","H8_aggression"
"728","H8_interceptions"
"729","H8_positioning"
"730","H8_vision"
"731","H8_penalties"
"732","H8_marking"
"733","H8_standing_tackle"
"734","H8_sliding_tackle"
"735","H8_gk_diving"
"736","H8_gk_handling"
"737","H8_gk_kicking"
"738","H8_gk_positioning"
"739","H8_gk_reflexes"
"740","A8_overall_rating"
"741","A8_potential"
"742","A8_preferred_foot"
"743","A8_attacking_work_rate"
"744","A8_defensive_work_rate"
"745","A8_crossing"
"746","A8_finishing"
"747","A8_heading_accuracy"
"748","A8_short_passing"
"749","A8_volleys"
"750","A8_dribbling"
"751","A8_curve"
"752","A8_free_kick_accuracy"
"753","A8_long_passing"
"754","A8_ball_control"
"755","A8_acceleration"
"756","A8_sprint_speed"
"757","A8_agility"
"758","A8_reactions"
"759","A8_balance"
"760","A8_shot_power"
"761","A8_jumping"
"762","A8_stamina"
"763","A8_strength"
"764","A8_long_shots"
"765","A8_aggression"
"766","A8_interceptions"
