"","x"
"243","A3_attacking_work_rate"
"244","A3_defensive_work_rate"
"245","A3_crossing"
"246","A3_finishing"
"247","A3_heading_accuracy"
"248","A3_short_passing"
"249","A3_volleys"
"250","A3_dribbling"
"251","A3_curve"
"252","A3_free_kick_accuracy"
"253","A3_long_passing"
"254","A3_ball_control"
"255","A3_acceleration"
"256","A3_sprint_speed"
"257","A3_agility"
"258","A3_reactions"
"259","A3_balance"
"260","A3_shot_power"
"261","A3_jumping"
"262","A3_stamina"
"263","A3_strength"
"264","A3_long_shots"
"265","A3_aggression"
"266","A3_interceptions"
"267","A3_positioning"
"268","A3_vision"
"269","A3_penalties"
"270","A3_marking"
"271","A3_standing_tackle"
"272","A3_sliding_tackle"
"273","A3_gk_diving"
"274","A3_gk_handling"
"275","A3_gk_kicking"
"276","A3_gk_positioning"
"277","A3_gk_reflexes"
"278","H3_height"
"279","H3_weight"
"280","A3_height"
"281","A3_weight"
"282","H4_overall_rating"
"283","H4_potential"
"284","H4_preferred_foot"
"285","H4_attacking_work_rate"
"286","H4_defensive_work_rate"
"287","H4_crossing"
"288","H4_finishing"
"289","H4_heading_accuracy"
"290","H4_short_passing"
"291","H4_volleys"
"292","H4_dribbling"
"293","H4_curve"
"294","H4_free_kick_accuracy"
"295","H4_long_passing"
"296","H4_ball_control"
"297","H4_acceleration"
"298","H4_sprint_speed"
"299","H4_agility"
"300","H4_reactions"
"301","H4_balance"
"302","H4_shot_power"
"303","H4_jumping"
"304","H4_stamina"
"305","H4_strength"
"306","H4_long_shots"
"307","H4_aggression"
"308","H4_interceptions"
"309","H4_positioning"
"310","H4_vision"
"311","H4_penalties"
"312","H4_marking"
"313","H4_standing_tackle"
"314","H4_sliding_tackle"
"315","H4_gk_diving"
"316","H4_gk_handling"
"317","H4_gk_kicking"
"318","H4_gk_positioning"
"319","H4_gk_reflexes"
"320","A4_overall_rating"
"321","A4_potential"
"322","A4_preferred_foot"
"323","A4_attacking_work_rate"
"324","A4_defensive_work_rate"
"325","A4_crossing"
"326","A4_finishing"
"327","A4_heading_accuracy"
"328","A4_short_passing"
"329","A4_volleys"
"330","A4_dribbling"
"331","A4_curve"
"332","A4_free_kick_accuracy"
"333","A4_long_passing"
"334","A4_ball_control"
"335","A4_acceleration"
"336","A4_sprint_speed"
"337","A4_agility"
"338","A4_reactions"
"339","A4_balance"
"340","A4_shot_power"
"341","A4_jumping"
"342","A4_stamina"
"343","A4_strength"
"344","A4_long_shots"
"345","A4_aggression"
"346","A4_interceptions"
"347","A4_positioning"
"348","A4_vision"
"349","A4_penalties"
"350","A4_marking"
"351","A4_standing_tackle"
"352","A4_sliding_tackle"
"353","A4_gk_diving"
"354","A4_gk_handling"
"355","A4_gk_kicking"
"356","A4_gk_positioning"
"357","A4_gk_reflexes"
"358","H4_height"
"359","H4_weight"
"360","A4_height"
"361","A4_weight"
"362","H5_overall_rating"
"363","H5_potential"
"364","H5_preferred_foot"
"365","H5_attacking_work_rate"
"366","H5_defensive_work_rate"
"367","H5_crossing"
"368","H5_finishing"
"369","H5_heading_accuracy"
"370","H5_short_passing"
"371","H5_volleys"
"372","H5_dribbling"
"373","H5_curve"
"374","H5_free_kick_accuracy"
"375","H5_long_passing"
"376","H5_ball_control"
"377","H5_acceleration"
"378","H5_sprint_speed"
"379","H5_agility"
"380","H5_reactions"
"381","H5_balance"
"382","H5_shot_power"
"383","H5_jumping"
"384","H5_stamina"
"385","H5_strength"
"386","H5_long_shots"
"387","H5_aggression"
"388","H5_interceptions"
"389","H5_positioning"
"390","H5_vision"
"391","H5_penalties"
"392","H5_marking"
"393","H5_standing_tackle"
"394","H5_sliding_tackle"
"395","H5_gk_diving"
"396","H5_gk_handling"
"397","H5_gk_kicking"
"398","H5_gk_positioning"
"399","H5_gk_reflexes"
"400","A5_overall_rating"
"401","A5_potential"
"402","A5_preferred_foot"
"403","A5_attacking_work_rate"
"404","A5_defensive_work_rate"
"405","A5_crossing"
"406","A5_finishing"
"407","A5_heading_accuracy"
"408","A5_short_passing"
"409","A5_volleys"
"410","A5_dribbling"
"411","A5_curve"
"412","A5_free_kick_accuracy"
"413","A5_long_passing"
"414","A5_ball_control"
"415","A5_acceleration"
"416","A5_sprint_speed"
"417","A5_agility"
"418","A5_reactions"
"419","A5_balance"
"420","A5_shot_power"
"421","A5_jumping"
"422","A5_stamina"
"423","A5_strength"
"424","A5_long_shots"
"425","A5_aggression"
"426","A5_interceptions"
"427","A5_positioning"
"428","A5_vision"
"429","A5_penalties"
"430","A5_marking"
"431","A5_standing_tackle"
"432","A5_sliding_tackle"
"433","A5_gk_diving"
"434","A5_gk_handling"
"435","A5_gk_kicking"
"436","A5_gk_positioning"
"437","A5_gk_reflexes"
"438","H5_height"
"439","H5_weight"
"440","A5_height"
"441","A5_weight"
"442","H6_overall_rating"
"443","H6_potential"
"444","H6_preferred_foot"
"445","H6_attacking_work_rate"
"446","H6_defensive_work_rate"
"447","H6_crossing"
"448","H6_finishing"
"449","H6_heading_accuracy"
"450","H6_short_passing"
"451","H6_volleys"
"452","H6_dribbling"
"453","H6_curve"
"454","H6_free_kick_accuracy"
"455","H6_long_passing"
"456","H6_ball_control"
"457","H6_acceleration"
"458","H6_sprint_speed"
"459","H6_agility"
"460","H6_reactions"
"461","H6_balance"
"462","H6_shot_power"
"463","H6_jumping"
"464","H6_stamina"
"465","H6_strength"
"466","H6_long_shots"
"467","H6_aggression"
"468","H6_interceptions"
"469","H6_positioning"
"470","H6_vision"
"471","H6_penalties"
"472","H6_marking"
"473","H6_standing_tackle"
"474","H6_sliding_tackle"
"475","H6_gk_diving"
"476","H6_gk_handling"
"477","H6_gk_kicking"
"478","H6_gk_positioning"
"479","H6_gk_reflexes"
"480","A6_overall_rating"
"481","A6_potential"
"482","A6_preferred_foot"
"483","A6_attacking_work_rate"
"484","A6_defensive_work_rate"
"485","A6_crossing"
"486","A6_finishing"
"487","A6_heading_accuracy"
"488","A6_short_passing"
"489","A6_volleys"
"490","A6_dribbling"
"491","A6_curve"
"492","A6_free_kick_accuracy"
"493","A6_long_passing"
"494","A6_ball_control"
"495","A6_acceleration"
"496","A6_sprint_speed"
"497","A6_agility"
"498","A6_reactions"
"499","A6_balance"
"500","A6_shot_power"
"501","A6_jumping"
"502","A6_stamina"
"503","A6_strength"
"504","A6_long_shots"
"505","A6_aggression"
"506","A6_interceptions"
"507","A6_positioning"
"508","A6_vision"
"509","A6_penalties"
"510","A6_marking"
"511","A6_standing_tackle"
"512","A6_sliding_tackle"
"513","A6_gk_diving"
"514","A6_gk_handling"
"515","A6_gk_kicking"
"516","A6_gk_positioning"
"517","A6_gk_reflexes"
"518","H6_height"
"519","H6_weight"
"520","A6_height"
"521","A6_weight"
"522","H7_overall_rating"
"523","H7_potential"
"524","H7_preferred_foot"
"525","H7_attacking_work_rate"
"526","H7_defensive_work_rate"
"527","H7_crossing"
"528","H7_finishing"
"529","H7_heading_accuracy"
"530","H7_short_passing"
"531","H7_volleys"
"532","H7_dribbling"
"533","H7_curve"
"534","H7_free_kick_accuracy"
"535","H7_long_passing"
"536","H7_ball_control"
"537","H7_acceleration"
"538","H7_sprint_speed"
"539","H7_agility"
"540","H7_reactions"
"541","H7_balance"
"542","H7_shot_power"
"543","H7_jumping"
"544","H7_stamina"
"545","H7_strength"
"546","H7_long_shots"
"547","H7_aggression"
"548","H7_interceptions"
"549","H7_positioning"
"550","H7_vision"
"551","H7_penalties"
"552","H7_marking"
"553","H7_standing_tackle"
"554","H7_sliding_tackle"
"555","H7_gk_diving"
"556","H7_gk_handling"
"557","H7_gk_kicking"
"558","H7_gk_positioning"
"559","H7_gk_reflexes"
"560","A7_overall_rating"
"561","A7_potential"
"562","A7_preferred_foot"
"563","A7_attacking_work_rate"
"564","A7_defensive_work_rate"
"565","A7_crossing"
"566","A7_finishing"
"567","A7_heading_accuracy"
"568","A7_short_passing"
"569","A7_volleys"
"570","A7_dribbling"
"571","A7_curve"
"572","A7_free_kick_accuracy"
"573","A7_long_passing"
"574","A7_ball_control"
"575","A7_acceleration"
"576","A7_sprint_speed"
"577","A7_agility"
"578","A7_reactions"
"579","A7_balance"
"580","A7_shot_power"
"581","A7_jumping"
